item_category_id,item_category_name_translated,item_category_new,sub_cat
0,pc,65,11
1,game,24,5
2,game,25,5
3,game,26,5
4,game,27,5
5,game,28,5
6,game,29,5
7,game,30,5
8,tickets,76,13
9,delivery,21,3
10,game,24,5
11,game,25,5
12,game,26,5
13,game,27,5
14,game,28,5
15,game,29,5
16,game,30,5
17,game,23,5
18,games,32,5
19,games,33,5
20,games,34,5
21,games,35,5
22,games,36,5
23,games,37,5
24,games,38,5
25,games,31,5
26,android,1,5
27,mac,51,5
28,pc,66,5
29,pc,67,5
30,pc,69,5
31,pc,68,5
32,payment,64,5
33,payment,60,10
34,payment,61,10
35,payment,62,10
36,payment,63,10
37,cinema,14,1
38,cinema,15,1
39,cinema,16,1
40,cinema,18,1
41,cinema,17,1
42,books,2,0
43,books,3,0
44,books,4,0
45,books,5,0
46,books,6,0
47,books,8,0
48,books,9,0
49,books,11,0
50,books,13,0
51,books,7,0
52,,0,14
53,books,10,0
54,books,12,0
55,music,53,7
56,music,52,7
57,music,55,7
58,music,57,7
59,music,56,7
60,music,54,7
61,gifts,39,6
62,gifts,46,6
63,gifts,48,6
64,gifts,41,5
65,gifts,42,5
66,gifts,47,6
67,gifts,44,6
68,gifts,43,6
69,gifts,49,6
70,gifts,50,6
71,gifts,40,6
72,gifts,45,6
73,programs,70,12
74,programs,73,12
75,programs,71,12
76,programs,72,12
77,programs,74,12
78,programs,75,12
79,office,58,8
80,official,59,9
81,clean,19,2
82,clean,20,2
83,elements,22,4
