item_id,item_name_translated,item_category_id
0,   in the power of happiness  plast  d,40
1,  abbyy finereader 12 professional edition full  pc  digital version ,76
2,    in the glory of the glory  unv  d,40
3,    blue wave  univ  d,40
4,    box  glass  d,40
5,    new american graphics  uni  d,40
6,    block on the gates  uni  d,40
7,    shock at door 2  uni  d,40
8,    tea with mussolini d,40
9,    shugarlend express  uni  d,40
10,  beyond death s edge d,40
11,  line of comments d,40
12,  michael and jumanji female love,55
13,  saving emily d,40
14,  private professor   magic   d,40
15,   adrenalin  one against all  region ,40
16,   mongol s bodrov  region ,40
17,   not observing the track  region ,40
18,  bomb for the bride   2dvd   d,40
19,  golden collection m   f 72,40
20,  once in china 2,40
21, last chance,40
22,  cured el charro,40
23,  north and south   n 2,40
24,  the death passage,40
25, you are dead,40
26,  multiple frequency vol 2  ser 3 4 ,40
27,007 legends  ps3  russian version ,19
28,007 legends  pc  jewel  russian version ,30
29,007 legends  xbox 360  russian version ,23
30,007  coordinates  skyfoll ,40
31,007  coordinates  skyfoll   bd ,37
32,1 1,40
33,1 1  bd ,37
34,10 000 years older our wb  region ,40
35,10 years later,40
36,10 years later  bd ,37
37,10 years later  region ,40
38,10 most popular cinematics of the 20th century 10dvd  rem ,41
39,10 most popular patriotic commemories of the 20th century  bd ,41
40,100 best classical melodies  mp3 cd   digipack ,57
41,100 best relax melodies  mp3 cd   cd digipack ,57
42,100 best romantic melodies  mp3 cd   digipack ,57
43,100 million euro,40
44,100 best melodies against stress  mp3 cd   cd digipack ,57
45,100 best folk songs  mp3 cd   cd digipack ,57
46,100 best works of bach  mp3 cd   digipack ,57
47,100 best works of beethoven  mp3 cd   digipack ,57
48,100 best works of vivaldi  mp3 cd   cd digipack ,57
49,100 best works of mozart  mp3 cd   digipack ,57
50,100 best works of rachmaninov  mp3 cd   jewel ,57
51,100 best works of classics  mp3 cd   digipack ,57
52,100 best works of piano music  mp3 cd   cd digipack ,57
53,100 best russian romances  mp3 cd   cd digipack ,57
54,100 best gypsy romances  mp3 cd   cd digipack ,57
55,100 favorite little fairy tales  mp3 cd   jewel ,43
56,100 favorite songs  alexandra pakhmutova  present   mp3 cd   jewel ,57
57,100 poods from the multichit  gift of the pack   mp3 cd   jewel ,57
58,100 wonders of russia  pc  digital version ,78
59,100 masterpieces of classics  mp3 cd   digipack ,57
60,1000 english phrases for all occasions  mp3 cd   jewel ,43
61,1000 and one night 2cd  mp3 dvd   dvd book ,43
62,10000 years before ne  wb  bd ,37
63,101 dalmatine wd,40
64,101 dalmatinec 2 m   u  region ,40
65,101 dalmatine 2  london  bd  pathways,37
66,101 dalmatinets m   f  bd ,37
67,101 dalmatinez m   u  region ,40
68,101 the dalmatian  interactive tale  pc cd  jewel ,30
