shop_id,shop_name_translated,city,city_code
0,yakutsk ordzhonikidze  56 francs,yakutsk,28
1,yakutsk tc  central  franc,yakutsk,28
2,adygea shopping center  mega ,adygea,0
3,balashikha trk  october kinomir ,balashikha,1
4,volzhsky shopping center  volga mall ,volzhsky,26
5,vologda shopping and entertainment center  marmalade ,vologda,25
6,voronezh  plekhanovskaya  13 ,voronezh,27
7,voronezh trc  maksimir ,voronezh,27
8,voronezh trc city park  grad ,voronezh,27
9,outbound trade,outbound,16
10,zhukovsky str  chkalov 39m ,zhukovsky,30
11,zhukovsky str  chkalov 39 m ,zhukovsky,30
12,online shop emergency,online,15
13,kazan tc  behetle ,kazan,5
14,kazan tc  parkhaus  ii,kazan,5
15,kaluga trc  xxi century ,kaluga,4
16,colosseum  rio ,colosseum,3
17,krasnoyarsk shopping center  vzletka plaza ,krasnoyarsk,7
18,krasnoyarsk shopping center  june ,krasnoyarsk,7
19,kursk tc  pushkinsky ,kursk,8
20,moscow  sale ,moscow,9
21,moscow mtrts  afi mall ,moscow,9
22,moscow shop  21,moscow,9
23,moscow tc  budenovskiy   pav a2 ,moscow,9
24,moscow tc  budenovskiy   pav k7 ,moscow,9
25,moscow trk  atrium ,moscow,9
26,moscow trade center  areal   belyaevo ,moscow,9
27,moscow     mega belaya dacha ii ,moscow,9
28,moscow     mega teply stan  ii,moscow,9
29,moscow tc  new century   novokosino ,moscow,9
30,moscow tp tpp  perlovski ,moscow,9
31,moscow                 ,moscow,9
32,moscow shopping center  silver house ,moscow,9
33,mytischi trk  xl 3 ,mytischi,10
34,n novgorod trc  rio ,novgorod,12
35,nizhny novgorod shopping mall  fantastic ,nizhny,11
36,novosibirsk trc  gallery novosibirsk ,novosibirsk,13
37,novosibirsk tc  mega ,novosibirsk,13
38,omsk tc  mega ,omsk,14
39,rostovnadon trk  megacenter horizon ,rostovnadonu,17
40,rostovnadonu trc  megacenter horizon  island,rostovnadonu,17
41,rostovnadonu tc  mega ,rostovnadonu,17
42,spb tc  nevsky center ,spb,20
43,spb tk  sennaya ,spb,20
44,samara tp  melody ,samara,18
45,samara tc  parkhaus ,samara,18
46,sergiev posad tc  7ya ,sergiev,19
47,surgut shopping and entertainment center  city mall ,surgut,21
48,tomsk sec  emerald city ,tomsk,22
49,tyumen sec  crystal ,tyumen,23
50,tyumen shopping center  goodwin ,tyumen,23
51,tyumen shopping center  green beach ,tyumen,23
52,ufa tc  central ,ufa,24
53,ufa tc  family  2,ufa,24
54,khimki     mega ,khimki,6
55,digital warehouse 1c online,online,15
56,chekhov sec  carnival ,chekhov,2
57,yakutsk ordzhonikidze  56,yakutsk,28
58,yakutsk central shopping center,yakutsk,28
59,yaroslavl shopping center  altair ,yaroslavl,29
